FileName,CWrotations,CCWrotations,Thrusts,WorldWraps,FortressCollisions,fortressDestructions,shipDeaths,Total,Points,Velocity,Control,Speed,Bpnt,Bmis,WorldWrapper,delWorldWrapper,discrete_thrusts,discrete_CWrotations,discrete_CCWrotations,Constant_Accelerations,cumulativeDistanceX,varianceX
604/p604-key-10.gam,338,191,259,12,1,0,3,-505,-1310,434,291,80,3,0,0,0,72,59,30,0,515075.085065616,17297.0548103664
604/p604-key-2.gam,421,498,405,35,6,0,6,-1921,-1430,-42,-479,30,1,0,2,0,80,68,63,0,368050.734883418,14604.7234522
604/p604-key-3.gam,429,429,392,47,4,0,3,-2337,-700,-420,-937,-280,4,0,2,0,91,63,52,0,446638.312515205,15850.4602098513
604/p604-key-4.gam,556,172,427,24,3,0,6,-1743,-1456,-196,-111,20,2,2,2,0,93,92,33,0,411124.984285087,17722.3861617477
604/p604-key-5.gam,438,415,430,40,7,0,4,-2117,-974,-252,-671,-220,3,1,2,1,74,54,49,0,338856.51090647,13658.7715451924
604/p604-key-6.gam,436,380,314,38,4,0,5,-2784,-1746,-406,-622,-10,4,1,6,1,58,66,57,0,403940.853015055,14742.0731557094
604/p604-key-7.gam,466,244,447,35,3,0,3,-2622,-1374,-350,-508,-390,2,0,3,0,89,82,34,0,488194.888528408,19845.6566861658
604/p604-key-8.gam,458,293,319,19,2,0,4,-163,-532,238,81,50,5,0,1,1,71,77,38,0,477990.254021976,14739.3936410834
604/p604-key-9.gam,311,71,204,11,3,0,6,-306,-1762,686,500,270,5,0,0,0,69,86,17,0,326064.076511333,9731.09978665518
618/p618-joy-1.gam,748,717,379,55,5,0,6,-3438,-1634,-280,-1174,-350,0,0,7,3,39,62,40,1,380808.263735092,15638.9085310034
618/p618-joy-10.gam,1619,921,244,52,3,0,7,-3149,-1642,-462,-1035,-10,0,0,16,5,18,38,38,0,497349.966293729,16430.4929532376
618/p618-joy-2.gam,1545,307,246,52,3,0,9,-4861,-2936,-658,-1007,-260,0,0,11,4,29,49,22,0,407642.291852123,16584.5757990375
